overs,1,2,3,4,5,6
1,9.0,17.0,31.0,39.0,33.0,27.0
2,31.0,40.0,49.0,56.0,58.0,54.0
3,75.0,61.0,69.0,72.0,58.0,76.0
4,60.0,73.0,74.0,103.0,74.0,70.0
5,71.0,76.0,111.0,80.0,81.0,71.0
6,77.0,101.0,62.0,86.0,78.0,79.0
7,34.0,56.0,48.0,59.0,63.0,38.0
8,59.0,62.0,73.0,68.0,69.0,56.0
9,86.0,82.0,79.0,81.0,73.0,52.0
10,54.0,61.0,85.0,61.0,73.0,67.0
11,82.0,92.0,83.0,69.0,72.0,69.0
12,91.0,72.0,87.0,79.0,87.0,70.0
13,87.0,108.0,79.0,100.0,100.0,84.0
14,100.0,101.0,99.0,97.0,89.0,87.0
15,90.0,124.0,102.0,100.0,86.0,106.0
16,101.0,120.0,128.0,120.0,113.0,95.0
17,106.0,115.0,108.0,100.0,120.0,100.0
18,126.0,141.0,137.0,150.0,116.0,127.0
19,116.0,113.0,148.0,131.0,136.0,125.0
20,132.0,120.0,149.0,148.0,116.0,146.0
